 ,Distance [nm],0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
1,0.000000000,0.000000000,94.573599008,0.000000000,1641.704913800,2322.764262273,22363.828035795,20149.802283654,22047.686523438,10888.964945720,15797.459655762,37524.806865986,5843.024362417,19.092801608,9605.248769907,1445.225642278,2034.073420598,16073.930389258,16855.948616615,25239.965219351,7132.334510216,2544.337867150,34208.405761719,40511.852229192,1500.345825195,33695.340895433,3122.633798453,14660.193030724,53616.085336538,0.000000000,15487.887498122,7889.433579665,43445.140099159,22744.194263605,8040.236948453,10492.804837740,23246.586026705,42006.119328425,1331.258563702,4052.789997981,13007.962533804,4997.630972055,20663.263732910,12734.332369291,961.829070165,3200.597790058,516.273024339,9864.177696815,30353.856424185,41829.315392127,38384.302039513,197.191054124,7670.709364964,40818.394381010,19137.807081956,14099.268920898,2652.679213304,3777.531738281,295.117459811,28328.319073017,20253.110027607,2515.476693960,29249.763484075,6340.542358398,12759.552443284,3259.494446975,13421.233634362,15875.974459135,493.637945909,10414.371694712,10087.103694035,10671.732471173,8913.914186918,4539.321401743,9734.088881273,3282.847768930,8653.093687791,11692.841749925,6826.134753887,9956.619795579,17525.679340069,4662.211510291,11437.436748798,52781.441894531,8902.798461914,45068.911808894,14659.165621244,6892.217167781,3247.661651611,6067.267653245,18910.049203726,8633.554189829,13196.990442129,24477.464847051,35248.453632061,38112.143160306,12052.395216722,13276.909555288,408.466604966,2021.313298152,18862.756000225,24563.727358305,343.845116248,456.585209773,14752.468261719,13996.470552885,5494.157940204,0.000000000,0.000000000,27527.886756310,908.763256366,818.054330679,25691.526385968
2,0.015651500,0.000000000,13.811437900,9.433930030,1815.632730337,3095.720265902,14174.882401686,15259.842346191,6859.145526593,9419.658414401,4181.086937538,26995.030761719,4157.008300781,137.871062059,9637.861321082,1214.801386907,2513.381882888,16336.966928335,13079.184682993,20957.542142428,7576.905649038,3298.832592304,32745.250504420,40444.758733309,2499.482637846,32866.126765325,2958.282940204,14141.630990835,49313.417217548,0.000000000,15735.522202712,7313.880314167,38523.414062500,23688.070429142,11709.755239633,14690.446392353,26380.779630221,42193.098482572,2013.222987248,4161.348651593,12969.613431490,8326.817405114,30667.713392991,19199.321814904,2061.374492939,2743.922466572,0.000000000,15926.942617563,23367.322514461,27579.534818209,35964.281588041,0.000000000,931.490349403,32499.014761118,11880.462674361,16860.802358774,238.016755324,3683.120736929,1923.034649189,28083.080474854,16604.500852732,5527.929030198,17494.433023306,5169.531325120,9468.780653733,329.063105657,17737.825815054,25418.526404748,558.573459919,11416.024188702,12390.905151367,9212.365271642,7894.120605469,5869.519352840,14525.163144625,944.358078590,9043.426271879,9562.460655799,3507.871117225,4987.482499343,17760.147539579,4167.068359375,13518.088585487,51331.191331130,4004.095998911,41551.296490009,12701.869201660,3607.481689453,4940.742328350,4985.452059232,20173.196176382,8476.782536433,22603.590801532,18261.396302443,32339.513146034,34318.197190505,11639.520864633,13659.231445312,282.961031400,3788.351872371,16764.853140024,21961.303020771,877.275249775,134.336449256,12617.400691106,13898.962590144,6916.036170373,147.836698092,314.201214130,30455.743746244,400.205332829,1194.587364784,28985.824857272
3,0.031303000,0.000000000,37.538372333,5632.836884719,2166.830191979,4658.548383273,7761.625849797,23025.335618239,14218.777891893,8984.040992443,5386.234349177,7215.584820087,4541.105447622,19304.192889874,6645.798429049,641.490009601,2739.054640550,18967.607928936,8671.911189153,2019.876784105,12336.481154222,1507.558761890,29855.700420673,28846.073392428,210.093125563,4928.844567519,0.000000000,12165.491642879,15158.990891677,6969.930350670,6469.094801683,6104.978346605,26631.620617206,100.305175781,14271.627070500,16137.962793515,25918.145494901,33725.333862305,14515.013778100,1498.381223238,0.000000000,0.000000000,35762.568631686,1630.638160119,3215.068420410,1833.567103459,0.000000000,6807.926955003,9951.737397827,28113.815655048,44196.287447416,0.000000000,11168.232180082,4607.088987791,2980.457543006,3272.053685115,0.000000000,2707.298893855,8729.306988056,22777.451876127,13539.847055288,366.487619253,3125.370094886,1664.860295222,3168.436298077,4095.560058594,38003.955829327,7607.238201435,342.799814078,11230.919027475,20583.086716872,3564.030128479,7808.452862079,1736.410358136,14189.693603516,5405.916165865,5666.578807831,0.000000000,1338.162229098,49.056605412,9162.886825268,2546.589454064,29088.150024414,52357.033278245,283.055938721,40740.162597656,11430.160820594,1264.443428040,0.000000000,15334.748666617,22009.003756010,3367.554119404,31310.805870643,13280.664968637,16509.434532752,21569.329251803,23034.259662335,3095.186650203,0.000000000,4544.227752686,13970.842285156,21513.292395959,5597.182917668,0.000000000,904.033916767,715.168006310,5796.399381197,3384.483022837,1268.391408480,9658.031512921,11.330795288,0.000000000,26796.026667668
4,0.046954501,564.554776705,15565.835127610,8959.247774564,8096.687725361,4362.010223389,1155.311774034,11621.573082557,8214.923659105,10210.578585111,43.575111976,8354.772892879,7114.544996995,11038.374136118,7516.642352764,487.065011831,2260.458777794,22239.306387094,5839.852113944,2609.611743047,11864.720217375,1909.796421931,48174.502403846,19261.375392034,1237.916945237,5478.607421875,0.000000000,9083.135460487,11124.774650574,10.932876880,7868.902989314,7022.272930439,26055.557579627,891.034571721,11694.492356520,17100.916353666,21376.695312500,34516.308265099,12867.593718896,3428.567716158,8523.783109225,13233.876126803,29249.747558594,5102.300654485,1608.702204778,1515.530966245,0.000000000,17709.603760939,9889.812725361,20562.156503531,39629.262845553,0.000000000,0.000000000,3973.888839217,75.873446244,4326.533346323,183.510819655,1145.877875988,3975.818340595,16818.048875955,11712.781613863,3930.357731746,1377.923444014,6462.996150090,6524.168759860,5890.824481671,30882.871281550,1313.088792067,92.343981229,6769.877448449,13278.253943810,6553.443920429,9467.732755221,6820.048978365,22432.985499455,0.000000000,2827.141024663,0.000000000,286.802696815,0.000000000,2283.409419133,4889.798133263,13875.710308368,53567.822566106,313.627690242,28561.187946063,9970.794015738,999.424123911,7711.559232272,3798.750018780,22335.210430439,4368.540125333,36439.095740685,11424.412947435,8464.400820219,26238.450190617,13436.277597281,11501.122098483,0.000000000,3354.355682960,11171.414428711,19364.716721755,3487.480089628,0.000000000,916.672382061,6369.458608774,3109.646012526,2578.583262517,1381.793715257,11723.789212740,0.000000000,204.244354835,19078.882587139
5,0.062606001,84.878493089,1225.567118278,6899.214341384,3240.248117300,5256.980147142,604.101236050,17306.466612596,21239.511268029,9238.951453576,0.000000000,8640.388333834,5495.763502855,8250.714937650,9422.964087853,167.312948374,1667.420532227,27492.143667368,3893.512357272,3959.791846642,7384.264441857,479.430295504,28213.290688588,14244.842125526,2160.122464694,9546.223989633,0.000000000,5913.545175406,13784.452615591,644.141380897,11762.359759991,4354.485460722,20704.569989718,1153.704795251,12187.840369738,20111.591930683,16132.798912635,48665.862154447,12103.245755709,1251.501318712,0.000000000,0.000000000,31292.659142127,6591.912301870,104.441321740,13.153739342,340.159638493,20097.650331937,8326.160860502,24587.263000488,54229.567645733,0.000000000,0.000000000,4329.280988767,0.000000000,5778.427969126,2425.118113004,280.754124568,5944.236159105,38338.010310246,10923.500150240,280.762272761,831.293947660,3328.449124850,2070.517549955,288.133190448,48093.686805138,24700.222937951,0.000000000,2812.959791917,13430.637507512,9418.277193510,11862.584266076,5901.784104567,15390.661733774,1381.113206130,6178.879788912,0.000000000,260.053231459,582.108852680,111.752960205,7244.052612305,15341.761343149,50313.109159029,1687.353783268,22170.739351713,7699.389779898,1485.969120906,0.000000000,14427.597210224,23069.004548293,1184.164682242,35967.947810246,11637.029733511,14246.800800030,19944.395536276,19985.392824613,12109.736966647,8.710317905,1903.267287034,11903.030620282,15669.128314678,3662.808067909,0.000000000,1332.643986629,6191.669921875,1774.674028250,7778.104806753,6872.847835834,12845.363270686,0.000000000,606.203992624,29011.042837290
6,0.078257501,789.552344689,8098.258906438,4497.935303615,2610.425076998,4233.547898513,293.611184927,13131.975389774,9953.078087440,5705.663790189,0.000000000,6673.072904147,5506.321026142,7658.876389724,10081.661116087,20.074025081,8449.805081881,43377.921424279,3176.529357910,4986.575275128,9802.716641940,7460.839285044,32240.582096980,9224.056279989,2664.358365572,13557.345909706,392.893953764,4302.128760705,18035.513540415,2567.796743540,10339.048316369,1766.046709501,12758.096381041,824.495013897,13057.117844948,1176.274605384,13736.769383357,30529.248807467,25229.542899499,2540.243408203,5680.613727276,12354.450833834,20033.230994591,4239.474351149,454.595191369,0.000000000,0.000000000,24110.732346755,10140.299141224,18150.719496507,39457.100811298,0.000000000,0.000000000,4695.758009691,0.000000000,4123.745692326,1713.667407696,554.950946514,13873.590297992,17026.920197707,10447.138986441,4130.561711238,1208.050800030,7906.455301138,4247.803072416,13244.085100614,46685.291090745,0.000000000,0.000000000,258.340238131,16318.127364379,12989.994982206,13076.309504582,10976.228365385,24616.098123404,0.000000000,0.000000000,686.844767644,928.274715424,45.743905874,775.992779952,4546.566556490,34618.766103891,49116.954402043,1319.224515475,16064.293682392,5542.339205228,1530.322471619,7878.582068810,17072.472102239,22198.380239633,6.369850746,49666.671048678,14529.504912156,2799.501336905,27277.644024189,15078.553429237,20366.885304965,0.000000000,1999.119818761,31131.710564247,1496.027778039,0.000000000,0.000000000,1844.067298302,6063.226393480,9007.958804791,12417.826391954,4397.712158203,22947.563631498,820.676756052,611.599009881,17613.319617638
7,0.093909001,0.000000000,26149.207966438,3690.415502695,1428.768761268,3621.162409856,750.242854192,16514.096642127,21706.441115159,2956.101318359,0.000000000,3908.490638146,6685.964094896,6746.186166617,13767.885775053,18.200163034,1281.221727811,35787.669405424,3456.293053260,5576.009624775,8359.592322716,1001.195529644,30418.970402644,7291.061744103,1708.935560960,37890.305767353,1025.087308444,24012.557574932,19409.632493239,11626.182461665,14854.556128869,1900.551149808,13289.167231046,10135.016141451,11801.583777794,21816.407442533,13794.276801329,53363.046274038,8537.767794096,3920.631448599,0.000000000,0.000000000,11295.321946364,7350.851844201,1332.140324519,0.000000000,0.000000000,23814.742694561,13057.065622183,23004.861078116,55553.799804688,226.484900841,0.000000000,4309.476811336,12.475608972,4589.862954947,14279.185168927,904.650916466,8220.153442970,16340.054680751,9928.599083534,325.163517292,2430.735923914,11715.864508996,3819.698833759,16698.226036659,32453.724421575,0.000000000,3560.360967783,129.080927922,8159.502620990,10771.968637320,13092.014857366,4466.023099459,15495.750563401,11.234002920,1994.245624249,5080.988750751,1550.192497840,350.586787297,0.000000000,5467.565265215,10488.055706318,52041.253699669,3417.822458707,9468.723848783,4722.091641940,1103.692918044,8211.745814910,1530.334079449,30441.700955904,20.223983178,33620.562105619,18212.748774602,926.088022085,22251.306748610,15993.016855093,6316.595210149,0.000000000,27149.702819824,26266.112534743,8816.786433293,6675.630596454,0.000000000,1691.628389799,8565.236384465,88.963613657,8265.542499249,15768.850642278,12796.879560030,0.000000000,422.469804030,23129.247539814
8,0.109560501,2749.538427206,18966.397489108,3377.847132169,564.672987718,10728.003183218,2768.363472865,13232.067717332,17911.178288386,21680.663348858,0.000000000,2702.672457181,7181.702284593,6446.564077524,13226.285963792,0.000000000,1958.438889724,34499.539766752,10960.353633000,6593.544020433,12450.772809542,976.937727708,25802.098970853,6953.229079026,659.481572078,15599.990553636,1574.788217398,2371.991410476,42286.167142428,6735.076652527,12654.243857751,293.368971605,12499.673494779,2718.484966572,29950.916212816,24196.678663987,14178.172597445,27319.361722506,19339.344875629,1676.115304800,3507.292365441,0.000000000,32695.956092248,571.035617535,0.000000000,0.000000000,1469.086800208,27130.394357535,11698.599460088,17771.994441106,55339.457773062,317.349224384,0.000000000,3473.225915762,664.760591947,1975.940194937,11243.402461125,1011.133357268,11953.520512508,18199.065805288,9291.684006911,354.710963323,3887.544227013,7042.620361328,119.102290227,205.737511268,29908.959413969,0.000000000,0.000000000,0.000000000,3392.908383883,13795.682429387,13814.290491090,4197.929818960,11731.380511944,0.000000000,0.000000000,12034.281062200,1430.619427021,599.359126164,0.000000000,5558.936066848,8425.715077327,44964.320913462,4627.036151593,3702.669978215,5007.994328425,317.990112305,52.440676176,6779.846674901,23954.082796537,0.000000000,33684.747483474,13903.481675368,130.224963848,23081.315748948,13533.730386811,15605.336975098,0.037541419,7437.224891076,13281.022512583,0.000000000,3323.937138484,0.000000000,1068.002884095,11161.240263719,429.665958184,17917.230614598,5907.276216947,10147.154972957,0.000000000,293.332920955,19713.514350304
9,0.125212002,0.000000000,30127.703247070,3007.783285288,146.767179049,4289.231501653,3299.355623493,19418.292057918,12661.856064796,2979.707429152,0.000000000,4172.348069411,9640.971219576,3259.745145358,13783.410982572,0.000000000,3358.152193510,34664.239511343,4529.594210111,8110.431753305,9721.749239408,2062.940164419,29055.923189603,6332.213623047,192.285855807,15248.100623498,1591.356008676,1999.863807091,18700.502453584,5665.285597581,21009.136399489,41.651320237,11354.752093975,1301.795011080,12423.451340895,23710.834932767,13958.106559167,24589.581843450,3237.189377124,5269.289093018,36.057360429,3895.104474581,4158.744215745,0.000000000,0.000000000,24.679426340,516.628333459,23269.056911175,11007.917264498,29096.232421875,35877.509413499,1544.414015550,198.996056190,3012.979096339,1770.100661058,1854.669013390,16796.715411978,1402.495179983,30673.855074369,19339.226177509,8068.872556246,46.550323633,3987.627450796,19770.549071972,12221.541945237,16284.411348783,50164.754732572,0.000000000,42.752038809,703.458586473,11780.036374606,12667.625375601,15881.638136644,25325.549335186,10322.758019081,0.000000000,0.000000000,13526.903245192,888.946077787,560.455378606,0.000000000,10366.212946965,7158.809532752,22780.306110089,5078.701962985,607.729910044,5811.442960592,0.000000000,7564.503868690,790.918021936,35187.387263371,0.000000000,31075.225313627,11021.394603436,0.000000000,30757.889371652,13186.014491155,2740.465675941,0.000000000,12339.843468299,17547.345092773,2.843785213,3364.044540919,22.221410953,885.172492247,20774.583196255,9.770338682,12715.604464017,7426.128638634,5614.675555889,0.000000000,1296.327642725,28039.306157039
10,0.140863502,11.321541401,29326.685528095,3372.954862154,0.000000000,6754.037152804,3895.490945963,15613.664898212,15623.949927697,4100.879263071,137.559546837,8105.712486561,16642.683152419,6789.773707463,14021.897939829,0.000000000,8478.938462477,25349.646221454,5100.345778245,8789.252892127,16189.813927284,2537.660344050,26172.441980215,11149.246004545,0.000000000,15409.994985727,760.951932467,9673.842073881,16883.295682467,4208.924038080,22084.473031851,182.130150428,14789.537482628,2373.586101825,32253.920682467,21250.447176420,14024.469691350,53187.320612981,4935.011782133,1685.687552232,1941.592228816,3181.211017315,3175.036846454,0.000000000,208.687870906,2073.972027118,1688.865793081,24183.354144757,15740.448730469,12910.578524076,55235.005408654,1682.400229821,0.000000000,3204.434044471,1823.547400841,1956.616784903,17901.238415645,3950.520660987,16401.713285006,18227.206486629,6848.430889423,1159.583716759,7085.733417218,5291.216614356,0.000000000,17165.647179237,31761.462590144,0.000000000,562.623610276,18.226648184,6048.422555777,9242.167463449,18344.952270691,6084.586338924,3235.882211538,0.000000000,0.000000000,11928.737905649,497.594947228,297.420072115,0.000000000,14074.929594774,5503.546734150,33450.534351055,10402.155714769,43.648522010,3754.918469943,0.000000000,7663.421217698,2939.989980844,31947.973811223,393.335533729,25631.472200834,17413.599412184,0.000000000,20005.371248685,11153.855932382,1673.211087740,0.000000000,17496.334735577,24843.232224684,0.219460983,0.000000000,43.938293457,1488.646367000,20905.928964468,759.694611517,24750.031512921,6944.299936148,2151.906907302,0.000000000,166.348489615,18574.804424579
