 ,Distance [nm],0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
1,0.000000000,0.000000000,745.248685397,0.000000000,59.600109394,0.000000000,0.000000000,2828.894355187,0.000000000,92.314375657,0.000000000,0.000000000,3906.760817308,0.810794464,0.000000000,0.000000000,0.000000000,0.000000000,165.857762263,10227.781296950,87.620340201,0.000000000,8763.753713755,3028.404972957,0.000000000,7526.495999850,0.000000000,0.000000000,10653.345139724,0.000000000,733.296612079,240.455655611,18876.277252197,0.000000000,438.372089973,2854.824143630,1188.035665952,11600.874511719,1536.940523588,11371.230093149,3864.806296715,6290.319054237,11281.561644334,14391.536203238,0.000000000,60.878187913,0.000000000,0.000000000,3262.733069787,12569.406400240,24285.025691106,0.000000000,394.659275935,1908.624981220,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,6115.391146146,7257.395958534,1661.114605243,5985.531705416,1971.277944712,8837.988412710,381.433998108,7620.251458388,8721.919358474,0.000000000,1261.120248648,4489.901146522,5183.203551072,4219.907057542,0.000000000,0.000000000,0.000000000,0.000000000,625.541804387,47.448505108,3031.159118652,1925.830660306,706.937950721,0.000000000,6998.457604041,2257.161940355,15781.875835712,6230.148026686,0.000000000,0.000000000,12.238683260,944.547164917,0,11377.015531100,6570.103259747,10464.043738732,4245.523672251,11892.503056453,3379.741943359,0.000000000,0.000000000,0.000000000,302.186465667,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,105.563011756,2475.384202224,5887.021597055,0.000000000,6243.244628906
2,0.015651500,0.000000000,1506.485771179,0.000000000,915.106905424,22.309694730,0.000000000,2915.472189096,0.000000000,754.728064904,0.000000000,0.000000000,4101.770244892,0.000000000,0.000000000,0.000000000,0.000000000,281.943586606,0.000000000,6580.633779672,963.175518329,0.000000000,4078.886253944,508.269127479,0.000000000,4811.092050406,0.000000000,0.000000000,15007.762347882,0.000000000,48.190444946,2.623536623,21173.869269738,81.078155518,3183.450094663,5691.555185171,3535.877554087,14283.711580717,0.000000000,5394.091383714,3828.068162184,5493.848726713,8121.226759691,9007.684222882,0.000000000,383.212364784,0.000000000,0.000000000,911.907749763,3895.625713642,19421.014347957,0.000000000,1117.354739849,1981.626732459,0.000000000,1181.808593750,0.000000000,0.000000000,0.000000000,10231.181096004,3864.557046744,3500.096247746,1406.449688251,897.336221548,4879.544370211,0.000000000,3798.599942721,7478.195227990,0.000000000,5370.533212515,8012.345853365,6859.838242751,4497.196664663,0.000000000,0.000000000,0.000000000,0.000000000,23.113510425,0.000000000,3336.708327073,393.890254094,493.036318265,0.000000000,12243.760141226,272.986917349,6453.897015205,2360.524761493,426.121498108,0.000000000,0.000000000,416.193975595,0,12044.557880108,1332.674639188,6209.456683819,3290.581193190,7618.482135479,6078.523888221,0.000000000,0.000000000,0.000000000,654.780463585,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,47.136129526,1385.855600210,1911.276939979,0.000000000,4632.489178217
3,0.031303000,0.000000000,1505.601224459,571.647836538,1830.209359976,184.324293870,0.000000000,14006.610708383,5567.208871695,0.000000000,0.000000000,0.000000000,792.906325120,950.685542180,1572.141430195,0.000000000,0.000000000,11502.813058706,0.000000000,6079.325635617,1516.389336219,37.018335489,518.687957764,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,301.182423078,40.765547532,427.375478891,0.000000000,5186.412954477,0.000000000,2303.549101023,6906.860680213,5898.556959886,2422.963989258,646.082064115,8.623127864,0.000000000,0.000000000,6151.670345600,81.971558791,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,18490.735079252,15798.118746244,0.551317618,1079.989351713,0.000000000,0.000000000,894.228717511,0.000000000,0.000000000,0.000000000,9757.160344050,2065.721135066,0.000000000,0.000000000,27.978042603,0.000000000,5.023638799,13200.961714524,0.000000000,0.000000000,6100.106858474,0.000000000,2797.259394719,5777.321908804,1189.142728365,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3848.032738319,16798.768047626,0.000000000,5802.328754462,1622.902106560,0.000000000,0.000000000,12034.626955473,810.981576846,0,12495.232112004,0.000000000,682.294684777,6528.390251747,13141.861794839,4156.662375817,0.000000000,696.615295410,0.000000000,7951.876913029,0.000000000,0,0.000000000,0.000000000,0.000000000,6595.999390822,0.000000000,0.000000000,90.877488356,0.000000000,591.930861253
4,0.046954501,0.000000000,5875.705594576,512.017615685,6840.369239220,0.000000000,0.000000000,7539.284264198,0.000000000,0.000000000,0.000000000,0.000000000,264.739846450,0.000000000,55.521661612,0.000000000,0.000000000,10510.447469858,62.089235159,5390.223583515,975.378735689,1006.552621548,2866.946443998,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1331.797609662,0.000000000,90.238211999,0.000000000,8979.959129920,0.000000000,4068.918487989,5193.471257136,5920.868178148,10827.948655349,1024.560634906,1243.603687433,6066.984882061,738.203108567,4598.788987380,511.897817758,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1916.213209886,14538.058657133,0.000000000,3816.297269381,0.000000000,0.000000000,999.240919847,0.000000000,0.000000000,0.000000000,5967.057091346,1680.052307129,851.688007061,0.000000000,1547.566819411,1393.748150165,268.745389498,2626.880882850,0.000000000,0.000000000,5337.685558613,1188.056539682,5035.296170748,6859.878577599,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,197.990850595,22292.539663462,0.000000000,4262.626652644,1297.349345427,0.000000000,12.985790546,0.000000000,1977.851262019,0,14000.236498319,0.000000000,0.000000000,6772.775061974,2032.616423827,6048.455463116,0.000000000,3591.844010353,0.000000000,7814.304706280,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
5,0.062606001,0.000000000,1357.994159405,1634.865440956,2327.876370944,246.296290471,0.000000000,11575.665871840,4.637598771,0.000000000,0.000000000,0.000000000,4137.643751878,0.000000000,2718.472557655,0.000000000,0.000000000,10122.816577618,546.209440965,2833.173258855,2684.766390287,1804.299363356,210.068184486,188.224756094,0.000000000,0.000000000,0.000000000,0.000000000,3992.762503028,0.000000000,0.000000000,0.000000000,4291.339861356,0.000000000,4273.820791391,5273.671021095,4430.801649827,9081.467998798,8694.842370547,3053.289635291,0.000000000,0.000000000,16876.628624549,1426.310410720,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,19444.226862981,24829.819692758,1474.438514123,3267.052039513,0.000000000,0.000000000,44.908231295,437.192881658,200.537372296,0.000000000,6323.618387662,2907.375914940,0.000000000,0.000000000,994.061021071,86.804933988,201.487886869,14622.239262801,3404.062662712,0.000000000,1536.689528245,0.000000000,1045.621988150,5741.300302359,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,282.681396704,350.466327374,0.000000000,2298.309701773,69.330704909,7409.523503230,0.000000000,1462.074359600,602.396953583,0.000000000,0.000000000,6639.503878080,3791.048683827,0,14590.407414363,0.000000000,787.385244516,1804.905526968,5547.013732910,6787.400653546,0.000000000,5923.731113434,0.000000000,3770.030424888,0.000000000,0,0.000000000,0.000000000,0.000000000,2649.732950064,120.032315768,0.000000000,0.000000000,0.000000000,7541.475041316
6,0.078257501,0.000000000,2075.379756047,1553.659987230,2265.988863431,807.341228779,0.000000000,13012.961026705,0.000000000,0.000000000,0.000000000,0.000000000,2278.197440514,0.000000000,1837.776655931,0.000000000,38.664297251,2091.978750669,1203.003683237,2205.118408790,5332.918982873,0.000000000,115.278576191,110.573432335,0.000000000,298.022141677,0.000000000,0.000000000,6616.188382662,0.000000000,1404.724243164,0.000000000,2089.790470784,0.000000000,4862.655320388,113.513781621,2962.288466233,6095.307830811,8085.053297776,415.210430439,6162.595055213,0.000000000,714.414918753,1532.169048603,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,4519.663604883,1079.712071345,1331.281728891,0.000000000,0.000000000,582.385077843,3517.733689528,950.583984375,947.475604718,2350.871427096,5698.144615283,0.000000000,0.000000000,2241.655447153,0.000000000,4273.029100125,6530.513275660,1757.645780123,0.000000000,0.000000000,9.561465337,7040.403339093,2893.178336510,288.316741650,0.000000000,0.000000000,0.000000000,0.000000000,3290.734429052,0.000000000,0.000000000,0.000000000,5062.550565279,10083.450796274,0.000000000,328.472020076,182.869647686,2195.713472806,4407.685171274,896.445463327,4471.108918704,0,30639.291522686,0.000000000,0.000000000,5266.535738431,121.984640562,8054.108984690,0.000000000,4024.633488582,6880.566904215,2.227162288,0.000000000,0,0.000000000,187.501894547,0.000000000,10.230318510,77.417171772,2740.263972356,6490.878516564,0.000000000,0.000000000
7,0.093909001,0.000000000,13482.408635066,615.367131160,2784.427997296,4128.681354229,0.000000000,4953.034996620,482.415629754,156.382028433,0.000000000,0.000000000,3663.077974760,0.000000000,265.690015353,0.000000000,0.000000000,4021.332213457,934.441248967,2872.734941923,6688.936964182,10822.342003456,185.339332581,228.443742018,0.000000000,1549.761396261,0.000000000,4822.161320613,6852.048414964,4.239891052,3093.134479229,0.000000000,2782.528242258,5458.383917295,4102.075815054,3846.880314754,2219.716923640,9573.082125150,11428.802246094,13488.925076998,0.000000000,0.000000000,160.984794030,1530.623818031,0.000000000,0.000000000,0.000000000,2.013095709,0.000000000,15313.667931190,24294.057875413,6803.454326923,0.000000000,506.767965463,0.000000000,2434.925180288,0.000000000,1126.764648438,0.000000000,2272.212633573,7250.469519982,0.000000000,0.000000000,4018.755525736,2816.787875249,8091.316481370,3981.129661560,2219.738906273,4709.367412861,113.206557054,0.000000000,0.000000000,975.764047476,0.000000000,0.000000000,0.000000000,0.000000000,133.592724140,7398.741141686,0.000000000,0.000000000,0.000000000,2190.004030668,9824.159259503,0.000000000,0.000000000,112.847393329,0.000000000,7711.171067458,0.000000000,3207.554471529,0,13324.812800481,0.000000000,0.000000000,1079.912084873,282.485981868,4886.330906795,0.000000000,4894.101384090,3999.564093700,2061.224405142,0.000000000,0,0.000000000,0.000000000,0.000000000,2452.579087477,94.857182429,135.316860199,0.000000000,0.000000000,805.215421236
8,0.109560501,0.000000000,4359.037706815,0.000000000,3211.382549579,5356.113149790,0.000000000,3860.871969370,0.000000000,1278.031480056,0.000000000,0.000000000,4019.014747033,0.000000000,2213.935312124,0.000000000,0.000000000,1585.751142062,3153.069954799,3465.006317139,7787.134512094,10853.756935560,4738.120416495,2048.187438378,0.000000000,1592.463786052,0.000000000,0.000000000,8146.386263334,23.314872155,0.000000000,11.245694674,918.569318331,363.653969545,11138.400019719,3247.927136348,2666.182947892,2108.429908166,6360.140795781,942.837904710,2008.701285692,0.000000000,6239.786934486,437.534105154,0.000000000,1203.271449749,0.000000000,34.099865840,0.000000000,0.000000000,20279.819659893,5548.212796725,0.000000000,2113.305701623,727.885033241,3108.737398588,2132.560875526,543.467457698,0.000000000,1384.987455515,4996.877490704,0.000000000,0.000000000,242.496141874,0.000000000,1747.040677584,3291.742410513,4145.722234873,0.000000000,0.000000000,0.000000000,15.467139024,854.275087178,436.761418269,0.000000000,0.000000000,0.000000000,918.561491746,5282.370306162,0.000000000,0.000000000,1185.249981220,7334.085996188,4859.290310906,0.000000000,0.000000000,44.012620192,16.104564667,689.383530837,0.000000000,3858.493811974,0,12341.331618089,726.321725699,0.000000000,185.609465379,0.000000000,6729.078650841,0.000000000,894.792048234,3944.892590449,0.000000000,0.000000000,0,0.000000000,656.411902794,1.369156471,3202.597379244,231.440793478,494.503345196,0.000000000,0.000000000,3973.496668889
9,0.125212002,0.000000000,16958.013444167,0.000000000,1972.595158504,9642.500374427,0.000000000,11863.977539062,0.000000000,958.048429049,0.000000000,0.000000000,1949.381749667,55.909531813,0.000000000,0.000000000,0.000000000,1717.247744634,167.205169384,2210.945519081,5289.827101487,0.000000000,1815.998384916,2115.474056537,0.000000000,1509.669276898,0.000000000,429.340589377,4123.907602163,20.540295748,2207.582916260,0.000000000,1865.200465716,28.348493283,3433.394399790,5377.241267278,4748.613702040,1430.999699519,1364.240803645,5940.737445538,621.502436711,0.000000000,0.000000000,0.000000000,0.000000000,3834.304340069,0.000000000,352.342256986,0.000000000,9543.486940824,712.867070125,6274.511859600,0.000000000,2636.855553260,4861.985450158,3292.602013221,1789.151526818,108.179806342,10949.288010817,2571.889431880,1727.278655859,0.000000000,0.000000000,3594.527389820,9356.809173584,6103.360952524,13727.047278771,1886.402353140,0.000000000,0.000000000,0.000000000,756.154403100,3271.580470159,2131.608867939,0.000000000,21.395977314,0.000000000,1543.707587609,1200.156789926,0.000000000,0.000000000,11888.784630409,6500.456988995,3375.431487744,0.000000000,0.000000000,2.857430972,909.922635592,13266.343947191,0.000000000,5960.086051061,0,11577.303943341,223.415255033,19.233871460,0.000000000,0.000000000,1463.326622596,0.000000000,359.461079671,8141.156127930,0.000000000,0.000000000,0,0.000000000,916.104559605,60.658717229,1941.907788790,0.000000000,2677.219777034,0.000000000,1096.231781006,12449.661564754
10,0.140863502,0.000000000,21556.506584424,0.000000000,289.778043307,10785.869971642,0.000000000,5298.682974008,0.000000000,954.886117788,14.473758698,0.000000000,1690.229663555,2587.750600962,23.944411938,0.000000000,1004.615260784,1839.737917387,91.193684505,326.874849760,2331.112912692,1097.179185134,5218.007496760,10668.883385291,0.000000000,363.910597581,0.000000000,11523.703115610,841.352400560,50.949702336,0.000000000,253.489354060,337.008488582,910.021071214,14818.931358924,5654.937199519,7628.764399602,3126.869022076,7.620982243,4653.829407325,75.766370333,0.000000000,0.000000000,64.801259188,0.000000000,9924.450364333,0.000000000,2039.983332707,0.000000000,0.000000000,13886.763131655,6490.628868690,0.000000000,437.243917612,8217.696279672,897.687166654,1.664425116,117.361602783,0.000000000,6059.729060246,450.332392766,0.000000000,0.000000000,30.124526611,0.000000000,2782.071007362,1936.348935641,21.317974384,0.000000000,0.000000000,0.000000000,758.284625714,6916.577801631,1828.401949369,0.000000000,0.000000000,0.000000000,438.283001239,0.000000000,0.000000000,0.000000000,7008.981689453,1710.121732272,9550.655620428,0.000000000,0.000000000,94.687360323,2532.251547006,8938.153536283,3.016334827,7326.940773597,0,8803.766878568,0.000000000,27.829753493,0.000000000,0.000000000,233.010366587,0.000000000,151.246781031,12623.195609460,0.000000000,0.000000000,0,0.000000000,206.850997265,912.481261033,7447.320718619,732.560915433,5506.671662551,0.000000000,400.863837609,10959.324556791
